soc8d,soc8d_label,tech40_id,tech40_label,tech40_labelshort,cosine8d,n_patent,xposure8d
11-1021.00,General and Operations Managers,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
11-1021.00,General and Operations Managers,2,3D Printing,3D Printing,0,0,-0
11-1021.00,General and Operations Managers,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
11-1021.00,General and Operations Managers,4,Smart Agriculture & Water Management,Smart Agriculture,0,0,-0
11-1021.00,General and Operations Managers,5,Internet of Things (IoT),IoT,0,0,-0
11-1021.00,General and Operations Managers,6,Predictive Energy Management and Distribution,Energy Management,0,0,-0
11-1021.00,General and Operations Managers,7,Industrial Automation & Robot Control,Industrial Automation,0,0,-0
11-1021.00,General and Operations Managers,8,Remote Monitoring & Control Systems,Remote Monitoring,0,0,-0
11-1021.00,General and Operations Managers,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
11-1021.00,General and Operations Managers,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
11-1021.00,General and Operations Managers,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
11-1021.00,General and Operations Managers,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
11-1021.00,General and Operations Managers,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,0,-0
11-1021.00,General and Operations Managers,14,Passenger Transportation,Passenger Transportation,0,0,-0
11-1021.00,General and Operations Managers,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
11-1021.00,General and Operations Managers,16,Digital Advertising,Digital Advertising,0,0,-0
11-1021.00,General and Operations Managers,17,Electronic Trading and Auctions,E-Trading,0,0,-0
11-1021.00,General and Operations Managers,18,Online Shopping Platforms,Online Shopping,0,0,-0
11-1021.00,General and Operations Managers,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
11-1021.00,General and Operations Managers,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
11-1021.00,General and Operations Managers,21,Mobile Payments,Mobile Payment,0,0,-0
11-1021.00,General and Operations Managers,22,Gaming & Wagering Systems,Gaming,0,0,-0
11-1021.00,General and Operations Managers,23,Digital Authentication,Digital Authentification,0,0,-0
11-1021.00,General and Operations Managers,24,E-Learning,E-Learning,0,0,-0
11-1021.00,General and Operations Managers,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
11-1021.00,General and Operations Managers,26,Voice Communication,Voice Communication,0,0,-0
11-1021.00,General and Operations Managers,27,Electronic Messaging,Electronic Messaging,0,0,-0
11-1021.00,General and Operations Managers,28,Workflow Management,Workflow Management,0.4519594020301496,1,0.43783583413943394
11-1021.00,General and Operations Managers,29,Cloud Storage & Data Security,Cloud Storage,0,0,-0
11-1021.00,General and Operations Managers,30,Information Processing,Information Processing,0,0,-0
11-1021.00,General and Operations Managers,31,Cloud Computing,Cloud Computing,0,0,-0
